"estimate","se","MCMC %","z value","Pr(>|z|)","term","village","representation","spec"
-3.19037142252843,0.0543074172550602,0,-58.7465135295339,0,"edges","v71","directed_weighted","m1"
-2.81283083849706,0.0506009372843167,0,-55.5885125742299,0,"edges","v72","directed_weighted","m1"
-3.31807453335165,0.0608312060189008,0,-54.5455983943618,0,"edges","v73","directed_weighted","m1"
-1.81083272014184,0.0304479147257321,0,-59.4731276822537,0,"edges","v74","directed_weighted","m1"
-3.28084554390278,0.0673099557051451,0,-48.7423518487324,0,"edges","v75","directed_weighted","m1"
-3.07669304370393,0.0510116729369391,0,-60.3135099589333,0,"edges","v76","directed_weighted","m1"
-2.59597374347782,0.0430060583102651,0,-60.3629778099937,0,"edges","v77","directed_weighted","m1"
-3.18705780636533,0.0623891241759247,2,-51.0835477891703,0,"edges","v37","directed_weighted","m2"
-1.92731803472572,0.984095442113166,1,-1.9584665798138,0.0501752888803305,"mutual","v37","directed_weighted","m2"
-1.26404687998188,0.0327763135896653,7,-38.5658648439477,0,"edges","v40","directed_weighted","m2"
-1.95188009150917,0.191973885429436,3,-10.1674250492087,2.77138150166868e-24,"mutual","v40","directed_weighted","m2"
-2.13354650374871,0.037723579572676,4,-56.5573714879931,0,"edges","v41","directed_weighted","m2"
-0.904235832786831,0.204667968911202,1,-4.41806227714678,9.95897282292221e-06,"mutual","v41","directed_weighted","m2"
-3.31338523388194,0.0633743407616327,1,-52.2827566182414,0,"edges","v42","directed_weighted","m2"
-0.144695661637094,0.772255044554422,1,-0.187367713111646,0.851372335486507,"mutual","v42","directed_weighted","m2"
-2.6050622163958,0.0381997380789611,3,-68.1958135684329,0,"edges","v43","directed_weighted","m2"
-1.73450791838208,0.814555577986655,2,-2.12939173858373,0.0332218634002553,"mutual","v43","directed_weighted","m2"
-2.71288830400926,0.0505111608481252,1,-53.7086904845893,0,"edges","v44","directed_weighted","m2"
-1.49064935242835,0.431603699001019,1,-3.45374554453212,0.000552858751459976,"mutual","v44","directed_weighted","m2"
-2.65881551413094,0.0495866061020466,1,-53.6196308466694,0,"edges","v45","directed_weighted","m2"
-1.77015370499986,0.568487281972408,1,-3.1137964931391,0.00184696834499928,"mutual","v45","directed_weighted","m2"
-2.53776035169793,0.0489474077685923,2,-51.8466751844275,0,"edges","v47","directed_weighted","m2"
-1.59513700441771,0.473940956158968,1,-3.36568718885455,0.000763532414684022,"mutual","v47","directed_weighted","m2"
-1.82390141019862,0.0299728508364383,5,-60.8517828401322,0,"edges","v48","directed_weighted","m2"
-0.888744680580577,0.198735423258454,3,-4.47199933463683,7.74916686596559e-06,"mutual","v48","directed_weighted","m2"
-3.0992010206248,0.0508904252477592,2,-60.899491516064,0,"edges","v49","directed_weighted","m2"
-Inf,0,0,-Inf,0,"mutual","v49","directed_weighted","m2"
-2.754332530248,0.0545724299360063,2,-50.4711359468111,0,"edges","v50","directed_weighted","m2"
-2.23993552970148,0.702796088896477,1,-3.18717699926106,0.00143668825801183,"mutual","v50","directed_weighted","m2"
-3.29381723281751,0.0559758061192627,1,-58.8435872776833,0,"edges","v51","directed_weighted","m2"
-Inf,0,0,-Inf,0,"mutual","v51","directed_weighted","m2"
-3.4883207896156,0.058407941776244,1,-59.7233986258078,0,"edges","v52","directed_weighted","m2"
-Inf,0,0,-Inf,0,"mutual","v52","directed_weighted","m2"
-3.18595187135551,0.0729534306356028,1,-43.6710356675221,0,"edges","v53","directed_weighted","m2"
-0.765995076935651,0.617515561307232,1,-1.24044659751424,0.214810254824451,"mutual","v53","directed_weighted","m2"
-2.83982823232416,0.0468429216036375,1,-60.6244899998645,0,"edges","v54","directed_weighted","m2"
