from,to,weight
v40_h105,v40_h80,0.04721900075674057
v40_h105,v40_h89,0.005600399803370237
v40_h105,v40_h96,0.0028001999016851187
v40_h105,v40_h114,0.009800699539482594
v40_h105,v40_h120,0.05281899869441986
v40_h105,v40_h123,0.043017998337745667
v40_h105,v40_h126,0.055619001388549805
v40_h105,v40_h140,0.0042003002017736435
v40_h105,v40_h142,0.0014000999508425593
v40_h105,v40_h145,0.0014000999508425593
v40_h105,v40_h152,0.0042003002017736435
v40_h105,v40_h161,0.0070004998706281185
v40_h105,v40_h169,0.0042003002017736435
v40_h105,v40_h170,0.0014000999508425593
v40_h105,v40_h173,0.0028001999016851187
v40_h105,v40_h174,0.0028001999016851187
v40_h105,v40_h185,0.0042003002017736435
v40_h105,v40_h199,0.0028001999016851187
v40_h106,v40_h6,0.005600399803370237
v40_h106,v40_h7,0.0070004998706281185
v40_h106,v40_h9,0.0070004998706281185
v40_h106,v40_h11,0.0028001999016851187
v40_h106,v40_h24,0.011200999841094017
v40_h106,v40_h35,0.0070004998706281185
v40_h106,v40_h39,0.0042003002017736435
v40_h106,v40_h49,0.011200999841094017
v40_h106,v40_h64,0.009800699539482594
v40_h106,v40_h80,0.05281899869441986
v40_h106,v40_h89,0.01820099912583828
v40_h106,v40_h96,0.005600399803370237
v40_h106,v40_h114,0.04721900075674057
v40_h106,v40_h120,0.06122000142931938
v40_h106,v40_h123,0.009800699539482594
v40_h106,v40_h126,0.05981900170445442
v40_h106,v40_h140,0.008400600403547287
v40_h106,v40_h142,0.0028001999016851187
v40_h106,v40_h145,0.0028001999016851187
v40_h106,v40_h152,0.0028001999016851187
v40_h106,v40_h161,0.0070004998706281185
v40_h106,v40_h169,0.008400600403547287
v40_h106,v40_h170,0.005600399803370237
v40_h106,v40_h173,0.0028001999016851187
v40_h106,v40_h174,0.008400600403547287
v40_h106,v40_h180,0.0028001999016851187
v40_h106,v40_h185,0.0070004998706281185
v40_h106,v40_h186,0.0014000999508425593
v40_h106,v40_h199,0.005600399803370237
v40_h106,v40_h231,0.0042003002017736435
v40_h107,v40_h7,0.0028001999016851187
v40_h107,v40_h24,0.005600399803370237
v40_h107,v40_h35,0.0028001999016851187
v40_h107,v40_h49,0.0042003002017736435
v40_h107,v40_h64,0.0070004998706281185
v40_h107,v40_h80,0.011200999841094017
v40_h107,v40_h89,0.0070004998706281185
v40_h107,v40_h114,0.011200999841094017
v40_h107,v40_h120,0.015401000156998634
v40_h107,v40_h123,0.008400600403547287
v40_h107,v40_h126,0.05701899901032448
v40_h107,v40_h140,0.0028001999016851187
v40_h107,v40_h142,0.0014000999508425593
v40_h107,v40_h152,0.0014000999508425593
v40_h107,v40_h161,0.043017998337745667
v40_h107,v40_h169,0.0028001999016851187
v40_h107,v40_h170,0.0014000999508425593
v40_h107,v40_h174,0.0014000999508425593
v40_h107,v40_h185,0.0014000999508425593
v40_h107,v40_h199,0.0014000999508425593
v40_h107,v40_h231,0.005600399803370237
v40_h108,v40_h6,0.0042003002017736435
v40_h108,v40_h7,0.0042003002017736435
v40_h108,v40_h9,0.0028001999016851187
v40_h108,v40_h11,0.0028001999016851187
v40_h108,v40_h24,0.005600399803370237
v40_h108,v40_h35,0.0042003002017736435
v40_h108,v40_h49,0.0070004998706281185
v40_h108,v40_h64,0.0028001999016851187
v40_h108,v40_h80,0.009800699539482594
v40_h108,v40_h89,0.0070004998706281185
v40_h108,v40_h114,0.009800699539482594
v40_h108,v40_h120,0.01960100047290325
v40_h108,v40_h123,0.012601000256836414
v40_h108,v40_h126,0.05141900107264519
v40_h108,v40_h140,0.005600399803370237
v40_h108,v40_h142,0.005600399803370237
v40_h108,v40_h145,0.0028001999016851187
v40_h108,v40_h152,0.0028001999016851187
v40_h108,v40_h161,0.005600399803370237
v40_h108,v40_h169,0.0042003002017736435
v40_h108,v40_h170,0.0014000999508425593
v40_h108,v40_h174,0.0042003002017736435
v40_h108,v40_h180,0.0014000999508425593
v40_h108,v40_h185,0.005600399803370237
v40_h108,v40_h186,0.0042003002017736435
v40_h108,v40_h199,0.0028001999016851187
v40_h108,v40_h231,0.0028001999016851187
